Año: 2024,,,,,,,,,,,,,
Producción Agrícola,,,,,,,,,,,,,
Ciclo: Ciclicos - Perennes,,,,,,,,,,,,,
Modalidad: Riego + Temporal,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Cultivo,Variedad,UDM,Tipo de tecnología,Tipo de producción,Tipo de mercado,Superficie,,,Producción,Rendimiento,PMR,Valor Producción
,,,,,,,(ha),,,,(udm/ha),($/udm),(miles de Pesos)
,,,,,,,Sembrada,Cosechada,Siniestrada,,,,
137,Cártamo,Cártamo s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"47,177.21","46,380.21",797,"70,510.48",1.52,"8,637.82","609,057.00"
138,Cártamo,Cártamo,Tonelada,Cielo abierto,Orgánico,Nacional,88,88,0,123.04,1.4,"6,202.46",763.15
139,Cártamo forrajero en verde,Cártamo forrajero en verde s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,545,545,0,"8,022.60",14.72,"1,086.04","8,712.89"
140,Cebada forrajera en verde,Cebada forrajera achicalada s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,20,20,0,84,4.2,"1,035.71",87
141,Cebada forrajera en verde,Cebada forrajera en verde s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"8,686.36","8,663.48",22.88,"162,984.29",18.81,714.31,"116,421.42"
142,Cebada grano,Cebada grano s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"301,729.41","300,558.13","1,171.28","827,490.98",2.75,"6,077.18","5,028,815.73"
143,Cebolla,Cebolla blanca,Tonelada,Cielo abierto,Convencional,Exportación,678,678,0,"22,164.00",32.69,"12,190.59","270,192.14"
144,Cebolla,Cebolla morada,Tonelada,Cielo abierto,Convencional,Exportación,85,85,0,"2,772.50",32.62,"15,117.58","41,913.49"
145,Cebolla,Cebollín,Tonelada,Cielo abierto,Convencional,Exportación,"8,494.00","8,494.00",0,"136,950.97",16.12,"15,879.86","2,174,762.28"
146,Cebolla,Cebolla amarilla,Tonelada,Cielo abierto,Convencional,Exportación,110,110,0,"4,186.00",38.05,"9,329.44","39,053.05"
147,Cebolla,Cebolla s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,7,7,0,378,54,"5,700.00","2,154.60"
148,Cebolla,Cebolla blanca,Tonelada,Cielo abierto,Convencional,Nacional,"38,789.76","38,704.76",85,"1,423,092.85",36.77,"6,219.15","8,850,425.61"
149,Cebolla,Cebolla morada,Tonelada,Cielo abierto,Convencional,Nacional,858.45,858.45,0,"31,583.62",36.79,"7,754.20","244,905.58"
150,Cebolla,Cebollín chino,Tonelada,Cielo abierto,Convencional,Nacional,981.8,981.8,0,"13,157.02",13.4,"6,822.89","89,768.87"
151,Cebolla,Cebolla amarilla,Tonelada,Cielo abierto,Convencional,Nacional,105,105,0,"3,450.84",32.87,"8,291.27","28,611.85"
152,Cebolla,Cebolla cambray,Tonelada,Cielo abierto,Convencional,Nacional,685.53,681.53,4,"10,874.24",15.96,"8,576.31","93,260.84"
153,Cebolla,Cebollín s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,945,945,0,"16,807.45",17.79,"14,958.65","251,416.70"
154,Cebolla,Cebollín,Tonelada,Cielo abierto,Orgánico,Exportación,585,585,0,"7,312.50",12.5,"18,400.00","134,550.00"
